State,Biden Odds,Trump Odds,MOV,Biden Votes,Trump Votes,Third Party Votes
WI,83.50%,16.50%,6.71%,"1,612,517","1,403,997","91,504"
MI,89.00%,11.00%,7.79%,"2,570,600","2,188,357","146,849"
PA,72.90%,27.10%,4.57%,"3,119,524","2,839,555","161,948"
MN,87.30%,12.70%,7.46%,"1,524,864","1,305,028","117,084"
IA,49.40%,50.60%,-0.12%,"768,376","770,264","47,198"
NH,90.60%,9.40%,8.11%,"394,740","334,191","17,291"
ME,96.10%,3.90%,11.07%,"399,662","316,887","30,916"
OH,49.70%,50.30%,-0.07%,"2,705,218","2,708,927","164,199"
VA,97.10%,2.90%,12.07%,"2,290,708","1,784,660","117,817"
NV,79.30%,20.70%,5.86%,"649,631","575,442","41,922"
AZ,65.50%,34.50%,3.10%,"1,565,703","1,468,455","99,160"
TX,52.40%,47.60%,0.47%,"5,460,425","5,407,205","372,918"
KS,4.60%,95.40%,-10.41%,"517,734","643,868","49,673"
FL,56.90%,43.10%,1.37%,"5,456,164","5,304,529","296,185"
NC,57.80%,42.20%,1.56%,"2,812,698","2,723,761","167,319"
GA,54.90%,45.10%,0.98%,"2,402,247","2,354,173","140,068"
MS,8.90%,91.10%,-9.30%,"567,005","685,167","18,904"
MO,16.80%,83.20%,-7.76%,"1,290,955","1,516,393","98,167"
MT,16.60%,83.40%,-7.87%,"250,001","294,674","23,196"
CO,97.00%,3.00%,12.03%,"1,597,574","1,238,986","143,615"
NM,97.10%,2.90%,12.06%,"437,593","338,748","43,189"
SC,21.30%,78.70%,-6.72%,"1,122,535","1,289,487","73,618"
WA,99.90%,0.10%,19.89%,"2,056,158","1,342,078","191,548"
OR,97.40%,2.60%,12.42%,"1,126,534","864,335","119,443"
IL,99.90%,0.10%,21.47%,"3,378,081","2,155,291","161,816"
NY,99.90%,0.10%,27.01%,"4,968,468","2,808,723","219,447"
MA,99.90%,0.10%,31.66%,"2,243,786","1,133,714","128,491"
RI,99.90%,0.10%,19.60%,"277,669","184,234","14,916"
CT,99.90%,0.10%,15.92%,"953,047","685,047","45,019"
NJ,99.90%,0.10%,16.52%,"2,272,798","1,615,341","91,544"
CA,99.90%,0.10%,36.08%,"10,018,539","4,521,357","696,319"
HI,99.90%,0.10%,38.90%,"341,901","146,188","15,006"
VT,99.90%,0.10%,37.78%,"210,018","90,832","14,611"
DE,99.90%,0.10%,19.56%,"262,052","174,157","13,155"
MD,99.90%,0.10%,30.75%,"1,821,048","941,356","98,064"
D.C.,99.90%,0.10%,87.85%,"306,918","15,194","9,948"
ID,0.10%,99.90%,-26.43%,"250,010","445,407","43,915"
WY,0.10%,99.90%,-40.10%,"71,249","177,412","16,084"
UT,0.20%,99.70%,-20.64%,"454,358","715,544","95,433"
AK,16.00%,84.00%,-7.99%,"145,193","171,483","12,507"
NB,0.10%,99.90%,-24.72%,"130,542","220,847","13,961"
SD,0.10%,99.90%,-22.12%,"139,926","223,349","13,916"
NE,0.10%,99.90%,-20.48%,"330,704","508,198","27,911"
OK,0.10%,99.90%,-30.47%,"495,420","952,375","51,812"
AR,0.10%,99.90%,-23.49%,"427,155","702,387","41,941"
LA,0.10%,99.90%,-17.06%,"841,511","1,200,034","59,445"
AL,0.10%,99.90%,-21.50%,"836,835","1,312,293","61,952"
TN,0.10%,99.90%,-21.00%,"994,134","1,543,505","78,981"
KY,0.10%,99.90%,-22.84%,"733,390","1,190,686","78,166"
WV,0.10%,99.90%,-38.64%,"209,648","493,160","30,917"
IN,3.40%,96.60%,-11.56%,"1,202,694","1,528,945","91,661"
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
